"","test","data","power","num_obs","lambda1","lambda2","alpha","FC"
"1","NB test","original",0.07,20,1000,2000,100,1
"2","NB test","rarefied",0.0675,20,1000,2000,100,1
"3","t test","original",0.04,20,1000,2000,100,1
"4","t test","rarefied",0.045,20,1000,2000,100,1
"5","NB test","original",0.0575,100,1000,2000,100,1
"6","NB test","rarefied",0.0525,100,1000,2000,100,1
"7","t test","original",0.0425,100,1000,2000,100,1
"8","t test","rarefied",0.0425,100,1000,2000,100,1
"9","NB test","original",0.0725,20,1000,10000,100,1
"10","NB test","rarefied",0.07,20,1000,10000,100,1
"11","t test","original",0.04,20,1000,10000,100,1
"12","t test","rarefied",0.03,20,1000,10000,100,1
"13","NB test","original",0.0675,100,1000,10000,100,1
"14","NB test","rarefied",0.055,100,1000,10000,100,1
"15","t test","original",0.07,100,1000,10000,100,1
"16","t test","rarefied",0.05,100,1000,10000,100,1
"17","NB test","original",0.05,20,1000,2000,1000,1
"18","NB test","rarefied",0.06,20,1000,2000,1000,1
"19","t test","original",0.0375,20,1000,2000,1000,1
"20","t test","rarefied",0.045,20,1000,2000,1000,1
"21","NB test","original",0.0275,100,1000,2000,1000,1
"22","NB test","rarefied",0.0475,100,1000,2000,1000,1
"23","t test","original",0.0275,100,1000,2000,1000,1
"24","t test","rarefied",0.0425,100,1000,2000,1000,1
"25","NB test","original",0.0425,20,1000,10000,1000,1
"26","NB test","rarefied",0.0325,20,1000,10000,1000,1
"27","t test","original",0.035,20,1000,10000,1000,1
"28","t test","rarefied",0.025,20,1000,10000,1000,1
"29","NB test","original",0.0575,100,1000,10000,1000,1
"30","NB test","rarefied",0.05,100,1000,10000,1000,1
"31","t test","original",0.0625,100,1000,10000,1000,1
"32","t test","rarefied",0.05,100,1000,10000,1000,1
"33","NB test","original",0.045,20,1000,2000,10000,1
"34","NB test","rarefied",0.0425,20,1000,2000,10000,1
"35","t test","original",0.045,20,1000,2000,10000,1
"36","t test","rarefied",0.0425,20,1000,2000,10000,1
"37","NB test","original",0.0525,100,1000,2000,10000,1
"38","NB test","rarefied",0.04,100,1000,2000,10000,1
"39","t test","original",0.05,100,1000,2000,10000,1
"40","t test","rarefied",0.0375,100,1000,2000,10000,1
"41","NB test","original",0.0475,20,1000,10000,10000,1
"42","NB test","rarefied",0.0375,20,1000,10000,10000,1
"43","t test","original",0.0425,20,1000,10000,10000,1
"44","t test","rarefied",0.035,20,1000,10000,10000,1
"45","NB test","original",0.08,100,1000,10000,10000,1
"46","NB test","rarefied",0.055,100,1000,10000,10000,1
"47","t test","original",0.0775,100,1000,10000,10000,1
"48","t test","rarefied",0.0525,100,1000,10000,10000,1
"49","NB test","original",0.09,20,1000,2000,100,1.05
"50","NB test","rarefied",0.09,20,1000,2000,100,1.05
"51","t test","original",0.0475,20,1000,2000,100,1.05
"52","t test","rarefied",0.0475,20,1000,2000,100,1.05
"53","NB test","original",0.0725,100,1000,2000,100,1.05
"54","NB test","rarefied",0.07,100,1000,2000,100,1.05
"55","t test","original",0.0625,100,1000,2000,100,1.05
"56","t test","rarefied",0.065,100,1000,2000,100,1.05
"57","NB test","original",0.0725,20,1000,10000,100,1.05
"58","NB test","rarefied",0.055,20,1000,10000,100,1.05
"59","t test","original",0.0375,20,1000,10000,100,1.05
"60","t test","rarefied",0.04,20,1000,10000,100,1.05
"61","NB test","original",0.05,100,1000,10000,100,1.05
"62","NB test","rarefied",0.035,100,1000,10000,100,1.05
"63","t test","original",0.0425,100,1000,10000,100,1.05
"64","t test","rarefied",0.035,100,1000,10000,100,1.05
"65","NB test","original",0.0675,20,1000,2000,1000,1.05
"66","NB test","rarefied",0.0775,20,1000,2000,1000,1.05
"67","t test","original",0.055,20,1000,2000,1000,1.05
"68","t test","rarefied",0.0725,20,1000,2000,1000,1.05
"69","NB test","original",0.0625,100,1000,2000,1000,1.05
"70","NB test","rarefied",0.0775,100,1000,2000,1000,1.05
"71","t test","original",0.0575,100,1000,2000,1000,1.05
"72","t test","rarefied",0.0725,100,1000,2000,1000,1.05
"73","NB test","original",0.0975,20,1000,10000,1000,1.05
"74","NB test","rarefied",0.1025,20,1000,10000,1000,1.05
"75","t test","original",0.0825,20,1000,10000,1000,1.05
"76","t test","rarefied",0.0825,20,1000,10000,1000,1.05
"77","NB test","original",0.1025,100,1000,10000,1000,1.05
"78","NB test","rarefied",0.1025,100,1000,10000,1000,1.05
"79","t test","original",0.1075,100,1000,10000,1000,1.05
"80","t test","rarefied",0.1,100,1000,10000,1000,1.05
"81","NB test","original",0.06,20,1000,2000,10000,1.05
"82","NB test","rarefied",0.065,20,1000,2000,10000,1.05
"83","t test","original",0.07,20,1000,2000,10000,1.05
"84","t test","rarefied",0.0675,20,1000,2000,10000,1.05
"85","NB test","original",0.145,100,1000,2000,10000,1.05
"86","NB test","rarefied",0.11,100,1000,2000,10000,1.05
"87","t test","original",0.1475,100,1000,2000,10000,1.05
"88","t test","rarefied",0.11,100,1000,2000,10000,1.05
"89","NB test","original",0.085,20,1000,10000,10000,1.05
"90","NB test","rarefied",0.065,20,1000,10000,10000,1.05
"91","t test","original",0.11,20,1000,10000,10000,1.05
"92","t test","rarefied",0.0725,20,1000,10000,10000,1.05
"93","NB test","original",0.16,100,1000,10000,10000,1.05
"94","NB test","rarefied",0.13,100,1000,10000,10000,1.05
"95","t test","original",0.1675,100,1000,10000,10000,1.05
"96","t test","rarefied",0.13,100,1000,10000,10000,1.05
